,playerName,Pos,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS
31,Eric Paschall,PF,Villanova,,110,82,29.2,4.0,8.2,.487,2.9,4.8,.591,1.1,3.4,.338,2.3,3.1,.756,1.5,3.6,5.1,1.7,0.7,0.5,1.7,2.4,11.4,,
32,Admiral Schofield,SF,Tennessee,,132,95,24.9,4.4,9.7,.458,3.0,6.1,.501,1.4,3.6,.387,1.6,2.1,.763,1.3,4.1,5.3,1.3,0.7,0.4,1.4,2.6,11.9,,9.58
33,Jaylen Nowell,SG,Washington,,70,67,33.5,6.0,12.6,.476,4.7,9.4,.504,1.3,3.2,.396,2.8,3.5,.789,1.0,3.7,4.6,2.9,1.2,0.3,2.7,2.5,16.1,,6.54
34,Isaiah Roby,SF,Nebraska,,97,52,23.9,2.9,6.1,.476,2.4,4.6,.523,0.5,1.5,.336,1.8,2.6,.702,1.6,3.9,5.5,1.5,0.8,1.6,1.6,2.8,8.1,,9.79
35,Talen Horton-Tucker,SG,Iowa State,,35,34,27.2,4.4,10.9,.406,3.0,6.4,.475,1.4,4.5,.308,1.6,2.5,.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,,9.30
36,Ignas Brazdeikis,SF,Michigan,,37,37,29.6,5.1,11.0,.462,3.6,7.1,.500,1.5,3.9,.392,3.1,4.1,.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,,10.55
37,Terance Mann,SG,Florida State,,140,101,25.9,3.6,6.5,.552,3.2,5.4,.601,0.4,1.2,.327,1.8,2.8,.670,1.9,3.2,5.1,1.9,0.8,0.2,1.4,2.0,9.4,,8.95
38,Quinndary Weatherspoon,SG,Mississippi State,,131,117,31.2,5.4,11.2,.480,4.0,7.4,.539,1.4,3.9,.368,3.2,4.0,.788,1.4,3.7,5.2,2.4,1.5,0.4,2.3,2.3,15.4,,6.95
39,Jarrell Brantley,PF,College of Charleston,,123,119,31.7,5.6,11.6,.487,4.7,9.0,.526,0.9,2.6,.353,3.4,4.4,.768,1.8,6.0,7.9,1.7,1.2,0.7,2.6,2.9,15.6,,-1.60
40,Tremont Waters,PG,LSU,,66,61,32.7,5.2,12.2,.423,3.2,6.5,.496,1.9,5.7,.340,3.3,4.2,.807,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,,8.59
41,Jalen McDaniels,PF,San Diego State,,67,55,27.9,5.0,10.0,.504,4.6,8.6,.538,0.4,1.4,.298,2.7,3.6,.758,2.1,5.8,7.9,1.5,1.0,0.5,1.8,2.6,13.2,,3.19
42,Justin Wright-Foreman,PG,Hofstra,,125,82,28.1,6.6,13.6,.483,4.3,7.8,.555,2.2,5.7,.386,3.3,4.1,.811,0.4,2.6,2.9,2.1,0.7,0.2,1.7,1.6,18.6,,-1.81
43,Marial Shayok,SG,Iowa State,,34,34,32.9,6.7,13.6,.496,4.6,8.2,.568,2.1,5.4,.386,3.2,3.6,.878,1.4,3.5,4.9,2.0,0.9,0.2,2.7,2.1,18.7,,
44,Kyle Guy,SG,Virginia,,106,78,29.1,4.4,10.1,.433,2.0,4.5,.444,2.4,5.6,.425,1.3,1.6,.806,0.4,2.6,3.0,1.6,0.7,0.0,1.1,1.1,12.5,,10.05
45,Jordan Bone,PG,Tennessee,,95,87,26.1,3.6,8.4,.424,2.6,5.7,.458,1.0,2.7,.353,1.6,2.0,.817,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,,10.15
46,Miye Oni,SG,Yale,,87,82,31.7,5.2,12.1,.428,3.2,6.5,.490,2.0,5.6,.356,2.7,3.5,.777,0.8,5.4,6.2,3.3,0.9,1.0,2.6,2.8,15.0,,-2.08
47,Dewan Hernandez,C,Miami (FL),,64,47,21.6,3.5,6.3,.560,3.5,6.2,.567,0.0,0.1,.000,1.6,2.4,.675,1.7,3.2,4.9,0.3,0.5,0.9,1.2,1.9,8.6,,8.26
